"Symbol","Price1"
"BAYN.DE",37.59
"BAYN.DE",37.61
"BAYN.DE",37.67
"BAYN.DE",37.74
"BAYN.DE",37.75
"BAYN.DE",37.78
"BAYN.DE",37.84
"BAYN.DE",37.85
"BAYN.DE",37.86
"BAYN.DE",37.91
"BAYN.DE",37.93
"BAYN.DE",37.99
"BAYN.DE",38.01
"BAYN.DE",38.04
"BAYN.DE",38.08
"BAYN.DE",38.1
"BAYN.DE",38.12
"BAYN.DE",38.15
"BAYN.DE",38.2
"BAYN.DE",38.22
"BAYN.DE",38.25
"BAYN.DE",38.28
"BAYN.DE",38.31
"BAYN.DE",38.375
"BAYN.DE",38.39
"BAYN.DE",38.44
"BAYN.DE",38.46
"BAYN.DE",38.48
"BAYN.DE",38.53
"BAYN.DE",38.55
"BAYN.DE",38.58
"BAYN.DE",38.63
"BAYN.DE",38.66
"BAYN.DE",38.67
"BAYN.DE",38.7
"BAYN.DE",38.72
"BAYN.DE",38.74
"BAYN.DE",38.8
"BAYN.DE",38.82
"BAYN.DE",38.87
"BAYN.DE",38.88
"BAYN.DE",38.92
"BAYN.DE",38.95
"BAYN.DE",38.96
"BAYN.DE",38.97
"BAYN.DE",38.995
"BAYN.DE",39.045
"BAYN.DE",39.05
"BAYN.DE",39.19
"BAYN.DE",39.2
"BAYN.DE",39.22
"BAYN.DE",39.25
"BAYN.DE",39.3
"BAYN.DE",39.36
"BAYN.DE",39.38
"BAYN.DE",39.4
"BAYN.DE",39.42
"BAYN.DE",39.44
"BAYN.DE",39.49
"BAYN.DE",39.5
"BAYN.DE",39.54
"BAYN.DE",39.55
"BAYN.DE",39.58
"BAYN.DE",39.6
"BAYN.DE",39.79
"BAYN.DE",39.82
"BAYN.DE",39.84
"BAYN.DE",39.88
"BAYN.DE",39.9
"BAYN.DE",39.98
"BAYN.DE",39.99
"BAYN.DE",40
"BAYN.DE",40.01
"BAYN.DE",40.04
"BAYN.DE",40.05
"BAYN.DE",40.08
"BAYN.DE",40.1
"BAYN.DE",40.12
"BAYN.DE",40.2
"BAYN.DE",40.23
"BAYN.DE",40.25
"BAYN.DE",40.34
"BAYN.DE",40.37
"BAYN.DE",40.4
"BAYN.DE",40.6
"BAYN.DE",40.68
"BAYN.DE",40.73
"BAYN.DE",40.76
"BAYN.DE",40.77
"BAYN.DE",40.825
"BAYN.DE",40.85
"BAYN.DE",40.86
"BAYN.DE",40.87
"BAYN.DE",40.895
"BAYN.DE",40.9
"BAYN.DE",40.93
"BAYN.DE",40.99
"BAYN.DE",41.08
"BAYN.DE",41.1
"BAYN.DE",41.14
"BAYN.DE",41.2
"BAYN.DE",41.25
"BAYN.DE",41.27
"BAYN.DE",41.34
"BAYN.DE",41.41
"BAYN.DE",41.44
"BAYN.DE",41.45
"BAYN.DE",41.48
"BAYN.DE",41.54
"BAYN.DE",41.55
"BAYN.DE",41.61
"BAYN.DE",41.72
"BAYN.DE",41.77
"BAYN.DE",41.8
"BAYN.DE",41.81
"BAYN.DE",41.86
"BAYN.DE",41.88
"BAYN.DE",41.9
"BAYN.DE",41.92
"BAYN.DE",41.96
"BAYN.DE",42
"BAYN.DE",42.07
"BAYN.DE",42.09
"BAYN.DE",42.12
"BAYN.DE",42.17
"BAYN.DE",42.19
"BAYN.DE",42.2
"BAYN.DE",42.22
"BAYN.DE",42.27
"BAYN.DE",42.3
"BAYN.DE",42.37
"BAYN.DE",42.49
"BAYN.DE",42.5
"BAYN.DE",42.505
"BAYN.DE",42.51
"BAYN.DE",42.57
"BAYN.DE",42.65
"BAYN.DE",42.68
"BAYN.DE",42.72
"BAYN.DE",42.74
"BAYN.DE",42.805
"BAYN.DE",42.83
"BAYN.DE",42.84
"BAYN.DE",42.845
"BAYN.DE",42.86
"BAYN.DE",42.89
"BAYN.DE",42.99
"BAYN.DE",43.01
"BAYN.DE",43.015
"BAYN.DE",43.03
"BAYN.DE",43.07
"BAYN.DE",43.08
"BAYN.DE",43.11
"BAYN.DE",43.13
"BAYN.DE",43.14
"BAYN.DE",43.16
"BAYN.DE",43.17
"BAYN.DE",43.19
"BAYN.DE",43.2
"BAYN.DE",43.32
"BAYN.DE",43.325
"BAYN.DE",43.38
"BAYN.DE",43.4
"BAYN.DE",43.405
"BAYN.DE",43.42
"BAYN.DE",43.44
"BAYN.DE",43.47
"BAYN.DE",43.495
"BAYN.DE",43.52
"BAYN.DE",43.55
"BAYN.DE",43.605
"BAYN.DE",43.63
"BAYN.DE",43.68
"BAYN.DE",43.75
"BAYN.DE",43.76
"BAYN.DE",43.77
"BAYN.DE",43.8
"BAYN.DE",43.865
"BAYN.DE",43.875
"BAYN.DE",43.885
"BAYN.DE",43.89
"BAYN.DE",43.9
"BAYN.DE",43.98
"BAYN.DE",44
"BAYN.DE",44.01
"BAYN.DE",44.04
"BAYN.DE",44.085
