"Symbol","Price1"
"732","BAYN.DE",41.81
"733","BAYN.DE",41.86
"734","BAYN.DE",41.88
"735","BAYN.DE",41.9
"736","BAYN.DE",41.92
"737","BAYN.DE",41.96
"738","BAYN.DE",42
"739","BAYN.DE",42.07
"740","BAYN.DE",42.09
"741","BAYN.DE",42.12
"742","BAYN.DE",42.17
"743","BAYN.DE",42.19
"744","BAYN.DE",42.2
"745","BAYN.DE",42.22
"746","BAYN.DE",42.27
"747","BAYN.DE",42.3
"748","BAYN.DE",42.37
"749","BAYN.DE",42.49
"750","BAYN.DE",42.5
"751","BAYN.DE",42.505
"752","BAYN.DE",42.51
"753","BAYN.DE",42.57
"754","BAYN.DE",42.65
"755","BAYN.DE",42.68
"756","BAYN.DE",42.72
"757","BAYN.DE",42.74
"758","BAYN.DE",42.805
"759","BAYN.DE",42.83
"760","BAYN.DE",42.84
"761","BAYN.DE",42.845
"762","BAYN.DE",42.86
"763","BAYN.DE",42.89
"764","BAYN.DE",42.99
"765","BAYN.DE",43.01
"766","BAYN.DE",43.015
"767","BAYN.DE",43.03
"768","BAYN.DE",43.07
"769","BAYN.DE",43.08
"770","BAYN.DE",43.11
"771","BAYN.DE",43.13
"772","BAYN.DE",43.14
"773","BAYN.DE",43.16
"774","BAYN.DE",43.17
"775","BAYN.DE",43.19
"776","BAYN.DE",43.2
"777","BAYN.DE",43.32
"778","BAYN.DE",43.325
"779","BAYN.DE",43.38
"780","BAYN.DE",43.4
"781","BAYN.DE",43.405
"782","BAYN.DE",43.42
"783","BAYN.DE",43.44
"784","BAYN.DE",43.47
"785","BAYN.DE",43.495
"786","BAYN.DE",43.52
"787","BAYN.DE",43.55
"788","BAYN.DE",43.605
"789","BAYN.DE",43.63
"790","BAYN.DE",43.68
"791","BAYN.DE",43.75
"792","BAYN.DE",43.76
"793","BAYN.DE",43.77
"794","BAYN.DE",43.8
"795","BAYN.DE",43.865
"796","BAYN.DE",43.875
"797","BAYN.DE",43.885
"798","BAYN.DE",43.89
"799","BAYN.DE",43.9
"800","BAYN.DE",43.98
"801","BAYN.DE",44
"802","BAYN.DE",44.01
"803","BAYN.DE",44.04
"804","BAYN.DE",44.085
"805","BAYN.DE",44.115
"806","BAYN.DE",44.12
"807","BAYN.DE",44.13
"808","BAYN.DE",44.135
"809","BAYN.DE",44.165
"810","BAYN.DE",44.175
"811","BAYN.DE",44.195
"812","BAYN.DE",44.21
"813","BAYN.DE",44.22
"814","BAYN.DE",44.24
"815","BAYN.DE",44.29
"816","BAYN.DE",44.32
"817","BAYN.DE",44.375
"818","BAYN.DE",44.39
"819","BAYN.DE",44.395
"820","BAYN.DE",44.4
"821","BAYN.DE",44.415
"822","BAYN.DE",44.44
"823","BAYN.DE",44.46
"824","BAYN.DE",44.47
"825","BAYN.DE",44.49
"826","BAYN.DE",44.51
"827","BAYN.DE",44.53
"828","BAYN.DE",44.575
"829","BAYN.DE",44.58
"830","BAYN.DE",44.59
"831","BAYN.DE",44.61
"832","BAYN.DE",44.615
"833","BAYN.DE",44.62
"834","BAYN.DE",44.63
"835","BAYN.DE",44.645
"836","BAYN.DE",44.7
"837","BAYN.DE",44.75
"838","BAYN.DE",44.78
"839","BAYN.DE",44.8
"840","BAYN.DE",44.81
"841","BAYN.DE",44.845
"842","BAYN.DE",44.855
"843","BAYN.DE",44.86
"844","BAYN.DE",44.865
"845","BAYN.DE",44.89
"846","BAYN.DE",44.895
"847","BAYN.DE",44.92
"848","BAYN.DE",44.99
"849","BAYN.DE",45.025
"850","BAYN.DE",45.03
"851","BAYN.DE",45.045
"852","BAYN.DE",45.06
"853","BAYN.DE",45.07
"854","BAYN.DE",45.095
"855","BAYN.DE",45.11
"856","BAYN.DE",45.115
"857","BAYN.DE",45.2
"858","BAYN.DE",45.245
"859","BAYN.DE",45.25
"860","BAYN.DE",45.32
"861","BAYN.DE",45.35
"862","BAYN.DE",45.37
"863","BAYN.DE",45.4
"864","BAYN.DE",45.415
"865","BAYN.DE",45.425
"866","BAYN.DE",45.5
"867","BAYN.DE",45.51
"868","BAYN.DE",45.56
"869","BAYN.DE",45.575
"870","BAYN.DE",45.595
"871","BAYN.DE",45.635
"872","BAYN.DE",45.69
"873","BAYN.DE",45.73
"874","BAYN.DE",45.75
"875","BAYN.DE",45.755
"876","BAYN.DE",45.79
"877","BAYN.DE",45.8
"878","BAYN.DE",45.82
"879","BAYN.DE",45.825
"880","BAYN.DE",45.85
"881","BAYN.DE",45.9
"882","BAYN.DE",45.965
"883","BAYN.DE",46
"884","BAYN.DE",46.005
"885","BAYN.DE",46.01
"886","BAYN.DE",46.025
"887","BAYN.DE",46.05
"888","BAYN.DE",46.065
"889","BAYN.DE",46.07
"890","BAYN.DE",46.145
"891","BAYN.DE",46.18
"892","BAYN.DE",46.195
"893","BAYN.DE",46.21
"894","BAYN.DE",46.22
"895","BAYN.DE",46.235
"896","BAYN.DE",46.24
"897","BAYN.DE",46.285
"898","BAYN.DE",46.295
"899","BAYN.DE",46.32
"900","BAYN.DE",46.33
"901","BAYN.DE",46.34
"902","BAYN.DE",46.37
"903","BAYN.DE",46.395
"904","BAYN.DE",46.4
"905","BAYN.DE",46.41
"906","BAYN.DE",46.435
"907","BAYN.DE",46.47
