"Symbol","Price1","Sector"
"2PP.F",35.793,"Financial Services"
"2PP.F",35.794,"Financial Services"
"2PP.F",35.844,"Financial Services"
"2PP.F",35.853,"Financial Services"
"2PP.F",35.874,"Financial Services"
"2PP.F",35.9,"Financial Services"
"2PP.F",35.922,"Financial Services"
"2PP.F",35.98,"Financial Services"
"2PP.F",36.001,"Financial Services"
"2PP.F",36.021,"Financial Services"
"2PP.F",36.034,"Financial Services"
"2PP.F",36.062,"Financial Services"
"2PP.F",36.075,"Financial Services"
"2PP.F",36.097,"Financial Services"
"2PP.F",36.105,"Financial Services"
"2PP.F",36.117,"Financial Services"
"2PP.F",36.137,"Financial Services"
"2PP.F",36.141,"Financial Services"
"2PP.F",36.148,"Financial Services"
"2PP.F",36.212,"Financial Services"
"2PP.F",36.229,"Financial Services"
"2PP.F",36.25,"Financial Services"
"2PP.F",36.281,"Financial Services"
"2PP.F",36.381,"Financial Services"
"2PP.F",36.387,"Financial Services"
"2PP.F",36.4,"Financial Services"
"2PP.F",36.418,"Financial Services"
"2PP.F",36.422,"Financial Services"
"2PP.F",36.502,"Financial Services"
"2PP.F",36.536,"Financial Services"
"2PP.F",36.56,"Financial Services"
"2PP.F",36.565,"Financial Services"
"2PP.F",36.608,"Financial Services"
"2PP.F",36.65,"Financial Services"
"2PP.F",36.661,"Financial Services"
"2PP.F",36.757,"Financial Services"
"2PP.F",36.8,"Financial Services"
"2PP.F",36.808,"Financial Services"
"2PP.F",36.855,"Financial Services"
"2PP.F",36.947,"Financial Services"
"2PP.F",36.957,"Financial Services"
"2PP.F",37.079,"Financial Services"
"2PP.F",37.099,"Financial Services"
"2PP.F",37.103,"Financial Services"
"2PP.F",37.15,"Financial Services"
"2PP.F",37.2,"Financial Services"
"2PP.F",37.214,"Financial Services"
"2PP.F",37.259,"Financial Services"
"2PP.F",37.3,"Financial Services"
"2PP.F",37.35,"Financial Services"
"2PP.F",37.357,"Financial Services"
"2PP.F",37.425,"Financial Services"
"2PP.F",37.5,"Financial Services"
"2PP.F",37.502,"Financial Services"
"2PP.F",37.51,"Financial Services"
"2PP.F",37.53,"Financial Services"
"2PP.F",37.557,"Financial Services"
"2PP.F",37.58,"Financial Services"
"2PP.F",37.6,"Financial Services"
"2PP.F",37.61,"Financial Services"
"2PP.F",37.717,"Financial Services"
"2PP.F",37.758,"Financial Services"
"2PP.F",37.772,"Financial Services"
"2PP.F",37.836,"Financial Services"
"2PP.F",37.838,"Financial Services"
"2PP.F",37.847,"Financial Services"
"2PP.F",37.954,"Financial Services"
"2PP.F",37.999,"Financial Services"
"2PP.F",38.008,"Financial Services"
"2PP.F",38.05,"Financial Services"
"2PP.F",38.061,"Financial Services"
"2PP.F",38.088,"Financial Services"
"2PP.F",38.092,"Financial Services"
"2PP.F",38.116,"Financial Services"
"2PP.F",38.117,"Financial Services"
"2PP.F",38.133,"Financial Services"
"2PP.F",38.146,"Financial Services"
"2PP.F",38.156,"Financial Services"
"2PP.F",38.16,"Financial Services"
"2PP.F",38.19,"Financial Services"
"2PP.F",38.235,"Financial Services"
"2PP.F",38.35,"Financial Services"
"2PP.F",38.5,"Financial Services"
"2PP.F",38.568,"Financial Services"
"2PP.F",38.579,"Financial Services"
"2PP.F",38.593,"Financial Services"
"2PP.F",38.699,"Financial Services"
"2PP.F",38.749,"Financial Services"
"2PP.F",38.757,"Financial Services"
"2PP.F",38.795,"Financial Services"
"2PP.F",38.811,"Financial Services"
"2PP.F",38.86,"Financial Services"
"2PP.F",38.871,"Financial Services"
"2PP.F",38.872,"Financial Services"
"2PP.F",38.884,"Financial Services"
"2PP.F",38.885,"Financial Services"
"2PP.F",38.888,"Financial Services"
"2PP.F",38.9,"Financial Services"
"2PP.F",38.908,"Financial Services"
"2PP.F",39.056,"Financial Services"
"2PP.F",39.079,"Financial Services"
"2PP.F",39.106,"Financial Services"
"2PP.F",39.169,"Financial Services"
"2PP.F",39.247,"Financial Services"
"2PP.F",39.263,"Financial Services"
"2PP.F",39.306,"Financial Services"
"2PP.F",39.35,"Financial Services"
"2PP.F",39.364,"Financial Services"
"2PP.F",39.366,"Financial Services"
"2PP.F",39.499,"Financial Services"
"2PP.F",39.519,"Financial Services"
"2PP.F",39.527,"Financial Services"
"2PP.F",39.617,"Financial Services"
"2PP.F",39.643,"Financial Services"
"2PP.F",39.651,"Financial Services"
"2PP.F",39.678,"Financial Services"
"2PP.F",39.687,"Financial Services"
"2PP.F",39.731,"Financial Services"
"2PP.F",39.749,"Financial Services"
"2PP.F",39.77,"Financial Services"
"2PP.F",39.801,"Financial Services"
"2PP.F",39.849,"Financial Services"
"2PP.F",39.893,"Financial Services"
"2PP.F",40.018,"Financial Services"
"2PP.F",40.019,"Financial Services"
"2PP.F",40.023,"Financial Services"
"2PP.F",40.044,"Financial Services"
"2PP.F",40.056,"Financial Services"
"2PP.F",40.077,"Financial Services"
"2PP.F",40.09,"Financial Services"
"2PP.F",40.133,"Financial Services"
"2PP.F",40.149,"Financial Services"
"2PP.F",40.166,"Financial Services"
"2PP.F",40.185,"Financial Services"
"2PP.F",40.187,"Financial Services"
"2PP.F",40.2,"Financial Services"
"2PP.F",40.211,"Financial Services"
"2PP.F",40.231,"Financial Services"
"2PP.F",40.25,"Financial Services"
"2PP.F",40.283,"Financial Services"
"2PP.F",40.386,"Financial Services"
"2PP.F",40.433,"Financial Services"
"2PP.F",40.463,"Financial Services"
"2PP.F",40.5,"Financial Services"
"2PP.F",40.502,"Financial Services"
"2PP.F",40.53,"Financial Services"
"2PP.F",40.559,"Financial Services"
"2PP.F",40.567,"Financial Services"
"2PP.F",40.588,"Financial Services"
"2PP.F",40.638,"Financial Services"
"2PP.F",40.639,"Financial Services"
"2PP.F",40.65,"Financial Services"
"2PP.F",40.651,"Financial Services"
"2PP.F",40.781,"Financial Services"
"2PP.F",40.815,"Financial Services"
"2PP.F",40.836,"Financial Services"
"2PP.F",40.844,"Financial Services"
"2PP.F",40.859,"Financial Services"
"2PP.F",43.5,"Financial Services"
"2PP.F",43.713,"Financial Services"
"2PP.F",44.111,"Financial Services"
"2PP.F",44.232,"Financial Services"
"2PP.F",44.435,"Financial Services"
"2PP.F",44.52,"Financial Services"
"2PP.F",44.551,"Financial Services"
"2PP.F",44.576,"Financial Services"
"2PP.F",44.7,"Financial Services"
"2PP.F",44.848,"Financial Services"
"2PP.F",44.857,"Financial Services"
"2PP.F",44.88,"Financial Services"
"2PP.F",45.155,"Financial Services"
"2PP.F",45.298,"Financial Services"
"2PP.F",45.301,"Financial Services"
"2PP.F",45.418,"Financial Services"
"2PP.F",45.434,"Financial Services"
"2PP.F",45.489,"Financial Services"
"2PP.F",45.572,"Financial Services"
"2PP.F",45.578,"Financial Services"
"2PP.F",45.582,"Financial Services"
"2PP.F",45.676,"Financial Services"
"2PP.F",45.706,"Financial Services"
"2PP.F",46.02,"Financial Services"
"2PP.F",46.12,"Financial Services"
"2PP.F",46.249,"Financial Services"
"2PP.F",46.31,"Financial Services"
"2PP.F",46.367,"Financial Services"
"2PP.F",46.4,"Financial Services"
"2PP.F",46.5,"Financial Services"
"2PP.F",46.581,"Financial Services"
"2PP.F",46.705,"Financial Services"
"2PP.F",47.17,"Financial Services"
"2PP.F",47.177,"Financial Services"
"2PP.F",47.234,"Financial Services"
"2PP.F",47.265,"Financial Services"
"2PP.F",47.344,"Financial Services"
"2PP.F",47.368,"Financial Services"
"2PP.F",47.465,"Financial Services"
"2PP.F",47.475,"Financial Services"
"2PP.F",47.58,"Financial Services"
"2PP.F",47.617,"Financial Services"
"2PP.F",47.621,"Financial Services"
"2PP.F",47.678,"Financial Services"
"2PP.F",47.8,"Financial Services"
"2PP.F",48,"Financial Services"
"2PP.F",48.023,"Financial Services"
"2PP.F",48.096,"Financial Services"
"2PP.F",48.239,"Financial Services"
"2PP.F",48.329,"Financial Services"
"2PP.F",48.491,"Financial Services"
"2PP.F",49.105,"Financial Services"
"2PP.F",49.295,"Financial Services"
"2PP.F",49.411,"Financial Services"
"2PP.F",49.51,"Financial Services"
"2PP.F",49.543,"Financial Services"
"2PP.F",49.786,"Financial Services"
"2PP.F",49.857,"Financial Services"
"2PP.F",49.862,"Financial Services"
"2PP.F",49.899,"Financial Services"
"2PP.F",49.934,"Financial Services"
"2PP.F",49.95,"Financial Services"
"2PP.F",49.993,"Financial Services"
"2PP.F",50.058,"Financial Services"
"2PP.F",50.093,"Financial Services"
"2PP.F",50.102,"Financial Services"
"2PP.F",50.205,"Financial Services"
"2PP.F",50.239,"Financial Services"
"2PP.F",50.283,"Financial Services"
"2PP.F",50.295,"Financial Services"
"2PP.F",50.378,"Financial Services"
"2PP.F",50.384,"Financial Services"
"2PP.F",50.445,"Financial Services"
"2PP.F",50.466,"Financial Services"
"2PP.F",50.471,"Financial Services"
"2PP.F",50.501,"Financial Services"
"2PP.F",50.504,"Financial Services"
"2PP.F",50.512,"Financial Services"
"2PP.F",50.632,"Financial Services"
"2PP.F",50.678,"Financial Services"
"2PP.F",50.706,"Financial Services"
"2PP.F",50.752,"Financial Services"
"2PP.F",50.89,"Financial Services"
"2PP.F",50.954,"Financial Services"
"2PP.F",50.973,"Financial Services"
"2PP.F",51.25,"Financial Services"
"2PP.F",51.269,"Financial Services"
"2PP.F",51.296,"Financial Services"
"2PP.F",51.459,"Financial Services"
"2PP.F",51.535,"Financial Services"
"2PP.F",51.605,"Financial Services"
"2PP.F",51.789,"Financial Services"
"2PP.F",51.806,"Financial Services"
"2PP.F",51.826,"Financial Services"
"2PP.F",52.203,"Financial Services"
"2PP.F",52.254,"Financial Services"
"2PP.F",52.314,"Financial Services"
"2PP.F",52.377,"Financial Services"
"2PP.F",52.471,"Financial Services"
"2PP.F",52.912,"Financial Services"
"2PP.F",52.97,"Financial Services"
"2PP.F",53.11,"Financial Services"
"2PP.F",53.622,"Financial Services"
"2PP.F",53.823,"Financial Services"
"2PP.F",53.866,"Financial Services"
"2PP.F",53.979,"Financial Services"
"2PP.F",53.998,"Financial Services"
"2PP.F",54.24,"Financial Services"
"2PP.F",54.456,"Financial Services"
"2PP.F",54.556,"Financial Services"
"2PP.F",54.748,"Financial Services"
"2PP.F",55.729,"Financial Services"
"2PP.F",55.845,"Financial Services"
"2PP.F",56.171,"Financial Services"
"2PP.F",56.463,"Financial Services"
"2PP.F",56.57,"Financial Services"
"2PP.F",56.961,"Financial Services"
"2PP.F",57.044,"Financial Services"
"2PP.F",57.409,"Financial Services"
"2PP.F",57.839,"Financial Services"
"2PP.F",58.166,"Financial Services"
"2PP.F",59.524,"Financial Services"
"2PP.F",59.556,"Financial Services"
"2PP.F",59.807,"Financial Services"
"2PP.F",60.118,"Financial Services"
"2PP.F",61.084,"Financial Services"
"2PP.F",61.253,"Financial Services"
"2PP.F",61.289,"Financial Services"
"2PP.F",62.001,"Financial Services"
"2PP.F",62.038,"Financial Services"
"2PP.F",62.63,"Financial Services"
"2PP.F",63.038,"Financial Services"
"2PP.F",63.091,"Financial Services"
"2PP.F",63.113,"Financial Services"
"2PP.F",63.258,"Financial Services"
"2PP.F",63.485,"Financial Services"
"2PP.F",63.95,"Financial Services"
"2PP.F",64.25,"Financial Services"
"2PP.F",64.481,"Financial Services"
"BAYN.DE",NA,"Drug Manufacturers"
"BAYN.DE",32.69,"Drug Manufacturers"
"BAYN.DE",33.6,"Drug Manufacturers"
"BAYN.DE",33.92,"Drug Manufacturers"
"BAYN.DE",34.61,"Drug Manufacturers"
"BAYN.DE",35.38,"Drug Manufacturers"
"BAYN.DE",35.66,"Drug Manufacturers"
"BAYN.DE",35.7,"Drug Manufacturers"
"BAYN.DE",35.81,"Drug Manufacturers"
"BAYN.DE",36,"Drug Manufacturers"
"BAYN.DE",36.22,"Drug Manufacturers"
"BAYN.DE",36.25,"Drug Manufacturers"
"BAYN.DE",36.41,"Drug Manufacturers"
"BAYN.DE",36.43,"Drug Manufacturers"
"BAYN.DE",36.46,"Drug Manufacturers"
"BAYN.DE",36.52,"Drug Manufacturers"
"BAYN.DE",36.54,"Drug Manufacturers"
"BAYN.DE",36.7,"Drug Manufacturers"
"BAYN.DE",36.8,"Drug Manufacturers"
"BAYN.DE",36.815,"Drug Manufacturers"
"BAYN.DE",36.83,"Drug Manufacturers"
"BAYN.DE",36.85,"Drug Manufacturers"
"BAYN.DE",36.86,"Drug Manufacturers"
"BAYN.DE",36.9,"Drug Manufacturers"
"BAYN.DE",36.93,"Drug Manufacturers"
"BAYN.DE",36.94,"Drug Manufacturers"
"BAYN.DE",36.99,"Drug Manufacturers"
"BAYN.DE",37.06,"Drug Manufacturers"
"BAYN.DE",37.2,"Drug Manufacturers"
"BAYN.DE",37.22,"Drug Manufacturers"
"BAYN.DE",37.29,"Drug Manufacturers"
"BAYN.DE",37.35,"Drug Manufacturers"
"BAYN.DE",37.37,"Drug Manufacturers"
"BAYN.DE",37.38,"Drug Manufacturers"
"BAYN.DE",37.4,"Drug Manufacturers"
"BAYN.DE",37.45,"Drug Manufacturers"
"BAYN.DE",37.5,"Drug Manufacturers"
"BAYN.DE",37.53,"Drug Manufacturers"
"BAYN.DE",37.59,"Drug Manufacturers"
"BAYN.DE",37.61,"Drug Manufacturers"
"BAYN.DE",37.67,"Drug Manufacturers"
"BAYN.DE",37.74,"Drug Manufacturers"
"BAYN.DE",37.75,"Drug Manufacturers"
"BAYN.DE",37.78,"Drug Manufacturers"
"BAYN.DE",37.84,"Drug Manufacturers"
"BAYN.DE",37.85,"Drug Manufacturers"
"BAYN.DE",37.86,"Drug Manufacturers"
"BAYN.DE",37.91,"Drug Manufacturers"
"BAYN.DE",37.93,"Drug Manufacturers"
"BAYN.DE",37.99,"Drug Manufacturers"
"BAYN.DE",38.01,"Drug Manufacturers"
"BAYN.DE",38.04,"Drug Manufacturers"
"BAYN.DE",38.08,"Drug Manufacturers"
"BAYN.DE",38.1,"Drug Manufacturers"
"BAYN.DE",38.12,"Drug Manufacturers"
"BAYN.DE",38.15,"Drug Manufacturers"
"BAYN.DE",38.2,"Drug Manufacturers"
"BAYN.DE",38.22,"Drug Manufacturers"
"BAYN.DE",38.25,"Drug Manufacturers"
"BAYN.DE",38.28,"Drug Manufacturers"
"BAYN.DE",38.31,"Drug Manufacturers"
"BAYN.DE",38.375,"Drug Manufacturers"
"BAYN.DE",38.39,"Drug Manufacturers"
"BAYN.DE",38.44,"Drug Manufacturers"
"BAYN.DE",38.46,"Drug Manufacturers"
"BAYN.DE",38.48,"Drug Manufacturers"
"BAYN.DE",38.53,"Drug Manufacturers"
"BAYN.DE",38.55,"Drug Manufacturers"
"BAYN.DE",38.58,"Drug Manufacturers"
"BAYN.DE",38.63,"Drug Manufacturers"
"BAYN.DE",38.66,"Drug Manufacturers"
"BAYN.DE",38.67,"Drug Manufacturers"
"BAYN.DE",38.7,"Drug Manufacturers"
"BAYN.DE",38.72,"Drug Manufacturers"
"BAYN.DE",38.74,"Drug Manufacturers"
"BAYN.DE",38.8,"Drug Manufacturers"
"BAYN.DE",38.82,"Drug Manufacturers"
"BAYN.DE",38.87,"Drug Manufacturers"
"BAYN.DE",38.88,"Drug Manufacturers"
"BAYN.DE",38.92,"Drug Manufacturers"
"BAYN.DE",38.95,"Drug Manufacturers"
"BAYN.DE",38.96,"Drug Manufacturers"
"BAYN.DE",38.97,"Drug Manufacturers"
"BAYN.DE",38.995,"Drug Manufacturers"
"BAYN.DE",39.045,"Drug Manufacturers"
"BAYN.DE",39.05,"Drug Manufacturers"
"BAYN.DE",39.19,"Drug Manufacturers"
"BAYN.DE",39.2,"Drug Manufacturers"
"BAYN.DE",39.22,"Drug Manufacturers"
"BAYN.DE",39.25,"Drug Manufacturers"
"BAYN.DE",39.3,"Drug Manufacturers"
"BAYN.DE",39.36,"Drug Manufacturers"
"BAYN.DE",39.38,"Drug Manufacturers"
"BAYN.DE",39.4,"Drug Manufacturers"
"BAYN.DE",39.42,"Drug Manufacturers"
"BAYN.DE",39.44,"Drug Manufacturers"
"BAYN.DE",39.49,"Drug Manufacturers"
"BAYN.DE",39.5,"Drug Manufacturers"
